word,n
oooo,7
planet,7
proud,7
rabbit,7
real,7
rest,7
rhyme,7
roller,7
roof,7
shoot,7
sign,7
silence,7
singing,7
sittin,7
sleepy,7
slow,7
soft,7
something's,7
store,7
summertime,7
surely,7
sweetheart,7
top,7
warm,7
wash,7
whisper,7
woah,7
york,7
buy,6
cheatin,6
children,6
classed,6
clouds,6
coast,6
daddy,6
day's,6
dooby,6
doot,6
dumdy,6
ear,6
forever,6
gently,6
grow,6
grows,6
half,6
hotel,6
hound,6
laid,6
lay,6
lead,6
maggie,6
memories,6
mike,6
moon,6
moondance,6
motel,6
nose,6
orleans,6
precious,6
rap,6
rising,6
road,6
rock'n'roll,6
runnin,6
scene,6
shooby,6
shoulder,6
si,6
singin,6
someday,6
sounds,6
south,6
space,6
stood,6
stronger,6
takes,6
taking,6
talking,6
tenderness,6
thousand,6
truth,6
vision,6
voodoo,6
wake,6
walked,6
walking,6
weeps,6
whatcha,6
whoo,6
word,6
ahh,5
backbeat,5
bells,5
bet,5
blows,5
brain,5
breakin,5
broad,5
cares,5
cat,5
cathy's,5
chorus,5
complete,5
cos,5
crying,5
cut,5
dancin,5
daylight,5
dig,5
dreamin,5
dreaming,5
faith,5
faster,5
fingers,5
follow,5
front,5
fuse,5
galileo,5
green,5
guns,5
hang,5
happen,5
heels,5
jive,5
johnny,5
leaves,5
leaving,5
lights,5
lives,5
loud,5
lovers,5
machine,5
matter,5
messin,5
modern,5
moonlight,5
neath,5
outta,5
past,5
pay,5
plans,5
playing,5
push,5
race,5
raise,5
ring,5
sand,5
saves,5
september,5
seventh,5
share,5
shoes,5
sin,5
sit,5
soplo,5
sorrow,5
spend,5
steal,5
stole,5
strong,5
teach,5
telling,5
ten,5
toes,5
touch,5
trace,5
wall,5
wear,5
weary,5
who'll,5
wine,5
wonderful,5
woo,5
wrote,5
zih,5
1,4
2,4
accept,4
act,4
actin,4
ahead,4
arm,4
bein,4
belong,4
bigger,4
body's,4
boop,4
bound,4
brings,4
caress,4
caroline,4
chai,4
changed,4
check,4
coaster,4
confusion,4
country,4
cried,4
cynthia,4
darkness,4
death,4
deep,4
diggin,4
direction,4
dirty,4
dress,4
dressed,4
drugs,4
drunk,4
eat,4
effect,4
embrace,4
engines,4
fear,4
fight,4
fill,4
filled,4
finally,4
flowers,4
flyin,4
fooled,4
game,4
glitter,4
growing,4
hanging,4
haze,4
held,4
hill,4
horses,4
huh,4
hundred,4
insane,4
kick,4
kids,4
kisses,4
knocks,4
land,4
laughter,4
led,4
lineman,4
liquor,4
lolo,4
ma,4
mad,4
matters,4
mcs,4
meant,4
mess,4
met,4
mic,4
million,4
mom,4
mood,4
motor,4
noise,4
oops,4
ow,4
paradise,4
pass,4
pick,4
playin,4
quit,4
reason,4
recall,4
reelin,4
renée,4
ringing,4
roads,4
sang,4
scream,4
seats,4
shame,4
shock,4
should've,4
skies,4
slip,4
speaking,4
standin,4
teardrops,4
tellin,4
tied,4
tired,4
touchdown,4
tramps,4
treat,4
twist,4
type,4
underneath,4
unknown,4
useless,4
waitin,4
walkin,4
war,4
wavin,4
weak,4
week,4
wendy,4
win,4
wrapped,4
x2,4
yesterdays,4
21,3
3,3
aaa,3
adore,3
affection,3
alang,3
arlene,3
avenue,3
ba,3
bag,3
bar,3
barely,3
beach,3
bear,3
beatin,3
beats,3
beauty,3
begging,3
belonged,3
beneath,3
bismillah,3
bite,3
blame,3
block,3
board,3
bomb,3
boogity,3
bother,3
bow,3
boyfriend,3
brand,3
breaks,3
bright,3
brought,3
bubbah,3
bust,3
cars,3
casanova,3
cast,3
chains,3
chickens,3
chokin,3
circus,3
climb,3
close,3
closer,3
cloud,3
