number,artist,title,time,bpm,year,genre,genre_combined,decade,track,track_gen,url,lyrics
11,The Who,My Generation,3M 17S,97.2,1966,Rock 1960s,Rock,1960s,POWERTRK_043-14,POWERTRK_043,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_043/POWERTRK_043-14.html,"People try to put us d-down (Talkin' 'bout my generation) Just because we get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) I hope I die before I get old (Talkin' 'bout my generation) This is my generation This is my generation, baby Why don't you all f-fade away (Talkin' 'bout my generation) And don't try to dig what we all s-s-say (Talkin' 'bout my generation) I'm not trying to cause a big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation) This is my generation This is my generation, baby Why don't you all f-fade away (Talkin' 'bout my generation) And don't try to d-dig what we all s-s-say (Talkin' 'bout my generation) I'm not trying to cause a b-big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-generation (Talkin' 'bout my generation) This is my generation This is my generation, baby People try to put us d-down (Talkin' 'bout my generation) Just because we g-g-get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) Yeah, I hope I die before I get old (Talkin' 'bout my generation) This is my generation This is my generation, baby"
12,Sam Cooke,A Change Is Gonna Come,3M 13S,138.3,1960,TBD,TBD,NA,DTRANDOM_005-16,DTRANDOM_005,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_005/DTRANDOM_005-16.html,"I was born by the river in a little tent And just like that river I've been running ever since It's been a long time coming But I know a change is gonna come, oh yes it will It's been too hard living, but I'm afraid to die Cos I don't know what's out there beyond the sky It's been a long, a long time coming But I know a change is gonna come, oh yes it will I go to the movie And i go down town somebody keep telling me don't hang around Its been along time coming But I know a change is gonna come, oh yes it will Then I go to my brother And I say brother help me please But he winds up knockin' me Back down on my knees There were times when I thought I couldn't last for long But now I think I'm able to carry on It's been a long, a long time coming But I know a change gone come, oh yes it will"
13,The Beatles,Yesterday,2M 5S,97.6,1966,Rock 1960s,Rock,1960s,BEATLES__RDA-13,BEATLES__RDA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__RDA/BEATLES__RDA-13.html,"Yesterday, all my troubles seemed so far away Now it looks as though they're here to stay Oh, I believe in yesterday Suddenly, I'm not half the man I used to be There's a shadow hanging over me Oh, yesterday came suddenly Why she had to go, I don't know She wouldn't say I said something wrong Now I long for yesterday Yesterday, love was such an easy game to play Now I need a place to hide away Oh, I believe in yesterday Why she had to go, I don't know She wouldn't say I said something wrong Now I long for yesterday Yesterday, love was such an easy game to play Now I need a place to hide away Oh, I believe in yesterday Mmm mmm mmm mmm mmm mm-mmmm"
14,Bob Dylan,Blowin' in the Wind,2M 46S,93.8,1967,TBD,TBD,NA,HOTSTUFF_026-19,HOTSTUFF_026,https://cs.uwaterloo.ca/~dtompkin/music/track/HOTSTUFF_026/HOTSTUFF_026-19.html,"How many roads must a man walk down Before you call him a man? How many seas must the white dove sail Before she sleeps in the sand? Yes 'n how many times must the cannonballs fly Before they are forever banned? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind Yes 'n how many years can a mountain exist Before it is washed to the sea? Yes 'n how many years can some people exist Before they're allowed to be free? Yes 'n how many times can a man turn his head And pretend that he just doesn't see? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind Yes 'n how many times must a man look up Before he can see the sky? Yes 'n how many ears must one man have Before he can hear people cry? Yes 'n how many deaths will it take 'til he knows That too many people have died? The answer, my friend, is blowin' in the wind The answer is blowin' in the wind"
15,The Clash,London Calling,3M 18S,134.3,1979,Rock 1970s,Rock,1970s,POWERTRK_084-13,POWERTRK_084,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_084/POWERTRK_084-13.html,"London calling to the far away towns Now war is declared and battle come down London calling to the underworld Come out of the cupboard, you boys and girls London calling, now don't look to us Phony Beatlemania has bitten the dust London calling, see we ain't got no swing Except for the ring of that truncheon thing The ice age is coming, the sun's zooming in Meltdown expected, the wheat is growing thin Engines stop running, but I have no fear 'Cause London is drowning and I live by the river London calling to the imitation zone Forget it, brother, you can go it alone London calling to the zombies of death Quit holding out and draw another breath London calling and I don't wanna shout But while we were talking, I saw you nodding out London calling, see we ain't got no high Except for that worm with the yellowy eye The ice age is coming, the sun is zooming in Engines stop running, the wheat is growing thin A nuclear error, but I have no fear 'Cause London is drowning and I, I live by the river The ice age is coming, the sun is zooming in Engines stop running, the wheat is growing thin A nuclear error, but I have no fear 'Cause London is drowning and I, I live by the river Now get this London calling, yes, I was there, too An' you know what they said, well, some of it was true London calling at the top of the dial After all this, won't you give me a smile? London calling I never felt so much alike"
16,The Beatles,I Want to Hold Your Hand,2M 26S,131.1,1966,Rock 1960s,Rock,1960s,BEATLES__RDA-05,BEATLES__RDA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__RDA/BEATLES__RDA-05.html,"Oh, yeah, I tell you something I think you'll understand When I say that something's I wanna hold your hand I wanna hold your hand I wanna hold your hand Oh, please say to me And/You'll let me be your man And, please, say to me You'll let me hold your hand I/You'll let me hold your hand I wanna hold your hand And when I touch you, I feel happy inside It's such a feeling that my love I can't hide I can't hide I can't hi'e Yeah, you got that something I think you'll understand When I say that something's I wanna/I'm not gonna hold your hand I wanna hold your hand I wanna hold your hand And when I touch you, I feel happy inside It's such a feeling that my love I can't hi'e I can't hide I can't hi'e Yeah, you got that something I think you'll understand When I feel that something I wanna hold your hand I wanna hold your hand I wanna hold your hand I wanna hold your hand"
17,Jimi Hendrix,Purple Haze,2M 50S,110.2,1968,Rock 1960s,Rock,1960s,POWERTRK_042-13,POWERTRK_042,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_042/POWERTRK_042-13.html,"Purple haze all over my brain Lately things don't seem the same Actin' funny, but I don't know why 'Scuse me while I kiss the sky Purple haze all around Don't know if I'm comin' up or down Am I happy or in misery? What ever it is, that girl put a spell on me Help me Help me Oh, no, no Hammerin' Talkin' 'bout heart 'n' s-soul I'm talkin' about hard stuff If everbody's still around, fluff and ease, if So far out my mind Something's happening, something's happening Ooo, ahhh Ooo, ahhh Ooo, ahhh Ooo, ahhh, yeah! Purple haze all in my eyes, uhh Don't know if it's day or night You got me blowin', blowin' my mind Is it tomorrow, or just the end of time? Ooo Help me Ahh, yea-yeah, purple haze, yeah Oh, no, oh Oh, help me Tell me, baby, tell me I can't go on like this You're makin' me blow my mind mama N-no, nooo No, it's painful, baby"
18,Chuck Berry,Maybellene,2M 19S,118.4,1955,Rock 1950s,Rock,1950s,POWERTRK_095-13,POWERTRK_095,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_095/POWERTRK_095-13.html,"Maybellene, why can't you be true? Oh Maybellene, why can't you be true? You just started doing the things you used to do As I was motivatin' over the hill I saw Maybellene in a Coup De Ville A Cadillac a-rollin' on the open road Nothin' will outrun my V8 Ford The Cadillac doin' 'bout ninety-five She's bumper to bumper, rollin' side to side Maybellene, why can't you be true? Oh Maybellene, why can't you be true? You've just started back doing the things you used to do The Cadillac pulled up ahead of the Ford The Ford got hot and wouldn't do no more It then got cloudy and it started to rain I tooted my horn for a passin' lead The rain water blowin' all under my hood I knew that was doin' my motor good Maybellene, why can't you be true? Oh Maybellene, why can't you be true? You've just started back doing the things you used to do Oh Maybellene, why can't you be true? Oh Maybellene, why can't you be true? You've just started back doing the things you used to do The motor cooled down, the heat went down And that's when I heard that highway sound The Cadillac a-sittin' like a ton of lead A hundred and ten, a half a mile ahead The Cadillac lookin' like it's sittin' still And I caught Maybellene at the top of the hill Maybellene, why can't you be true? Oh Maybellene, why can't you be true? You've started back doing the things you used to do"
19,Elvis Presley,Hound Dog,2M 15S,88.8,1956,Rock 1950s,Rock,1950s,POWERTRK_023-06,POWERTRK_023,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_023/POWERTRK_023-06.html,"You ain't nothin' but a hound dog Cryin' all the time You ain't nothin' but a hound dog Cryin' all the time Well, you ain't never caught a rabbit And you ain't no friend of mine When they said you was high classed Well, that was just a lie Yeah, they said you was high classed Well, that was just a lie Yeah, you ain't never caught a rabbit And you ain't no friend of mine You ain't nothin' but a hound dog Cryin' all the time You ain't nothin' but a hound dog Cryin' all the time Well, you ain't never caught a rabbit And you ain't no friend of mine When they said you was high classed Well, that was just a lie Yeah, they said you was high classed Well, that was just a lie Well, you ain't never caught a rabbit And you ain't no friend of mine When they said you was high classed Well, that was just a lie You know, they said you was high classed Well, that was just a lie Yeah, you ain't never caught a rabbit And you ain't no friend of mine You ain't nothin' but a hound dog Cryin' all the time You ain't nothin' but a hound dog Cryin' all the time Well, you ain't never caught a rabbit You ain't no friend of mine"
20,The Beatles,Let It Be,3M 52S,137.4,1969,Rock 1960s,Rock,1960s,BEATLES__BLB-12,BEATLES__BLB,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__BLB/BEATLES__BLB-12.html,"When I find myself in times of trouble Mother Mary comes to me Speaking words of wisdom Let it be And in my hour of darkness She is standing right in front of me Speaking words of wisdom Let it be Let it be, let it be Let it be, let it be Whisper words of wisdom Let it be And when the broken-hearted people Living in the world agree There will be an answer Let it be For though they may be parted There is still a chance that they will see There will be an answer Let it be Let it be, let it be Let it be, let it be Yeah, there will be an answer Let it be Let it be, let it be Let it be, let it be Whisper words of wisdom Let it be Let it be, let it be Let it be, yeah, let it be Whisper words of wisdom Let it be And when the night is cloudy There is still a light that shines on me Shine until tomorrow, let it be I wake up to the sound of music Mother Mary comes to me Speaking words of wisdom, let it be Yeah, let it be, let it be Let it be, yeah, let it be There will be an answer, let it be Let it be, let it be Let it be, yeah, let it be Whisper words of wisdom Let it be"
21,Bruce Springsteen,Born to Run,4M 30S,146.3,1975,Rock 1970s,Rock,1970s,POWERTRK_090-08,POWERTRK_090,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_090/POWERTRK_090-08.html,"In the day we sweat it out on the streets Of a runaway American dream At night we ride through mansions of glory In suicide machines Sprung from cages on Highway 9 Chrome-wheeled, fuel-injected and steppin' out over the line Oh, baby this town rips the bones from your back It's a death trap, it's a suicide rap We gotta get out while we're young 'Cause tramps like us Baby, we were born to run Wendy, let me in, I wanna be your friend I wanna guard your dreams and visions Just wrap your legs 'round these velvet rims And strap your hands 'cross my engines Together we could break this trap We'll run 'til we drop, baby we'll never go back Oh, will you walk with me out on the wire 'Cause baby I'm just a scared and lonely rider But I gotta know how it feels I wanna know if your love is wild Girl, I wanna know if love is real Beyond the palace hemi-powered drones Scream down the boulevard Girls comb their hair in rear view mirrors And the boys try to look so hard The amusement park rises bold and stark Kids are huddled on the beach in the mist I wanna die with you, Wendy, on the streets tonight In an everlasting kiss One, two, three, four! Highway's jammed with broken heroes On a last chance power drive Everybody's out on the road tonight but There's no place left to hide Together, Wendy, we can live with the sadness I'll love you with all the madness in my soul Oh, someday, girl, I don't know when We're gonna get to that place where we really wanna go And we'll walk in the sun But 'til then tramps like us Baby, we were born to run Honey, tramps like us Baby, we were born to run Come on Wendy, tramps like us Baby, we were born to run"
22,The Ronettes,Be My Baby,2M 37S,128,1963,Dance 1960s,Dance,1960s,POWERTRK_162-14,POWERTRK_162,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_162/POWERTRK_162-14.html,"The night we met I knew I needed you so and if I had the chance I'd never let you go. So won't you say you love me, I'll make you so proud of me. We'll make 'em turn their heads every place we go. So won't you, please, BE MY BE MY be my little baby Say you'll be my darlin', be my baby now.Wha-oh-oh-oh. I'll make you happy, baby, just wait and see. For every kiss you give me I'll give you three. Oh, since the day I saw you I have been waiting for you. You know I will adore you 'til eternity. So won't you, please, BE MY BE MY be my little baby Say you'll be my darlin', be my baby now. Wha-oh-oh-oh. So come on and, please, BE MY BE MY be my little baby Say you'll be my darlin', be my baby now. Wha-oh-oh-oh. BE MY BE MY Be my little baby. Say you'll be my darlin', be my baby now. wha-oh-oh-oh-oh. (repeat & fade)"
23,The Beatles,In My Life,2M 27S,103.7,1966,Rock 1960s,Rock,1960s,BEATLES__RDB-09,BEATLES__RDB,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__RDB/BEATLES__RDB-09.html,"There are places I remember All my life, though some have changed Some forever, not for better Some have gone and some remain All these places had their moments With lovers and friends I still can recall Some are dead and some are living In my life I've loved them all But of all these friends and lovers There is no-one compares with you And these memories lose their meaning When I think of love as something new Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I love you more Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I love you more In my life I love you more"
24,The Impressions,People Get Ready,2M 38S,120.4,2003,TBD,TBD,NA,DTRANDOM_002-18,DTRANDOM_002,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_002/DTRANDOM_002-18.html,People get ready There's a train a-coming You don't need no baggage You just get on board All you need is faith To hear the diesels humming Don't need no ticket You just thank the Lord So people get ready For the train to Jordan Picking up passengers From coast to coast Faith is the key Open the doors and board them There's hope for all among the loved the most There ain't no room for the hopeless sinner Who would hurt all mankind just To save his own Have pity on those whose chances grow thinner Cause there's no hiding place Against the Kingdom's Throne So people get ready There's a train a-comin' You don't need no baggage you just get on board ! All you need is faith to hear the diesels humming Don't need no ticket you just thank the Lord
