title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
Sweet Home Alabama,Lynyrd Skynyrd,1974,Rock 1970s,284,98.1,1.2,Rock
Sweet Jane,The Velvet Underground,1998,TBD,195,105.6,1.12,TBD
Sweet Little Sixteen,Chuck Berry,1958,Rock 1950s,180,88.6,1.56,Rock
Sympathy for the Devil,The Rolling Stones,1968,TBD,378,116.2,0.57,TBD
Take Me to the River,Al Green,1974,TBD,225,118,1.37,TBD
Tangled Up in Blue,Bob Dylan,1994,TBD,343,99.2,0.48,TBD
Tears in Heaven,Eric Clapton,1992,Slow,272,153.7,1.5,Slow
Tell It Like It Is,Aaron Neville,1993,TBD,158,95.4,0.38,TBD
Thank You (Falettinme Be Mice Elf Agin),Sly & The Family Stone,1970,Dance 1970s,289,105.5,1.23,Dance
That'll Be the Day,Buddy Holly,1957,Rock 1950s,136,116.3,-0.04,Rock
That's All Right,Elvis Presley,2000,TBD,117,105.5,0,TBD
That's Entertainment,The Jam,1991,TBD,211,143.2,-1,TBD
That's the Way of the World,"Earth, Wind & Fire",1978,TBD,346,82.1,0.82,TBD
The Boxer,Simon & Garfunkel,1969,Rock 1970s,309,96.2,-1.14,Rock
The Boys Are Back in Town,Thin Lizzy,1976,Rock 1970s,268,120.6,-0.5,Rock
The End,The Doors,1985,Rock 1970s,702,108.2,-0.59,Rock
The Girl Can't Help It,Little Richard,1956,TBD,153,86.1,1.98,TBD
The Harder They Come,Jimmy Cliff,1972,TBD,186,98.8,-0.31,TBD
The Letter,Box Tops,1967,Rock 1960s,120,138.2,-0.67,Rock
The Message,Grandmaster Flash & Melle Mel,1981,R&B 1980s,427,101,-0.4,R&B
The Night They Drove Old Dixie Down,The Band,1969,TBD,212,125.6,0.92,TBD
The Sounds of Silence,Simon & Garfunkel,1965,Slow,184,106.6,-0.35,Slow
The Thrill Is Gone,B.B. King,1998,TBD,325,90.7,0.93,TBD
The Times They Are A-Changin',Bob Dylan,1967,Rock 1960s,191,86.1,-0.06,Rock
The Twist,Chubby Checker,1961,Rock 1960s,157,155.5,0.69,Rock
The Wanderer,Dion,1961,Rock 1960s,162,114.1,1.44,Rock
The Weight,The Band,1968,Rock 1960s,271,144.2,-0.07,Rock
The Wind Cries Mary,Jimi Hendrix,1972,Rock 1970s,202,153.8,-1.2,Rock
Then He Kissed Me,The Crystals,1963,Rock 1960s,148,134.6,1.7,Rock
There Goes My Baby,The Drifters,1959,Slow,127,119.8,0.17,Slow
Thirteen,Big Star,1978,TBD,154,116.7,3,TBD
Thunder Road,Bruce Springsteen,1975,TBD,291,144,0.14,TBD
Ticket to Ride,The Beatles,1966,Rock 1960s,190,123.9,0.81,Rock
Tighten Up,Archie Bell & The Drells,1991,TBD,194,124.5,1.29,TBD
Tiny Dancer,Elton John,1992,Rock 1980s,376,145.4,0.4,Rock
Tired of Being Alone,Al Green,1971,TBD,172,98.3,-0.14,TBD
Tonight's the Night,The Shirelles,1961,TBD,122,117.4,2.07,TBD
Train in Vain,The Clash,1980,Rock 1980s,190,122.9,-0.25,Rock
Try a Little Tenderness,Otis Redding,1967,Slow,196,104.1,0.38,Slow
Tumbling Dice,The Rolling Stones,1972,TBD,219,110.6,-1.27,TBD
Tutti-Frutti,Little Richard,1956,Rock 1950s,142,184.6,0.6,Rock
Unchained Melody,The Righteous Brothers,1966,Slow,216,100.8,0.56,Slow
Under the Boardwalk,The Drifters,1964,Slow,160,124.5,1.38,Slow
Up on the Roof,The Drifters,1962,Rock 1960s,157,121.3,0.77,Rock
Visions of Johanna,Bob Dylan,1985,TBD,452,102.8,0.26,TBD
Voodoo Child,Jimi Hendrix,1993,TBD,313,118.6,1,TBD
Wake Up Little Susie,Everly Brothers,1957,Rock 1950s,122,91.2,-0.67,Rock
Walk Away Renee,The Left Banke,1967,TBD,163,118.3,-1.5,TBD
Walk This Way,Aerosmith,1975,Rock 1980s,212,108,1.5,Rock
Walk This Way,Run-DMC,1986,R&B 1980s,311,105.6,1.5,R&B
Walk on By,Dionne Warwick,1964,Slow,164,99.3,-1.33,Slow
Walk on the Wild Side,Lou Reed,1973,Rock 1970s,252,106.1,-1.75,Rock
Walking in the Rain,The Ronettes,1964,TBD,196,108,1.28,TBD
Watching the Detective,Elvis Costello,1978,TBD,221,134.6,0.13,TBD
Waterloo Sunset,The Kinks,1967,TBD,197,107.3,1,TBD
We Gotta Get Out of This Place,The Animals,1965,Rock 1960s,190,124.7,0.05,Rock
We Will Rock You,Queen,1977,Rock 1970s,120,140.7,0,Rock
We've Only Just Begun,Carpenters,1970,Easy,185,89.6,1.62,Easy
Welcome to the Jungle,Guns N' Roses,1988,Rock 1980s,272,124,0.97,Rock
What'd I Say (Parts 1 And 2),Ray Charles,1959,Rock 1950s,306,89.6,2.1,Rock
What's Going On,Marvin Gaye,1971,Dance 1970s,227,101.5,-0.4,Dance
What's Love Got to Do With It,Tina Turner,1984,Slow,229,97.9,1.74,Slow
When Doves Cry,Prince,1984,Dance 1980s,228,126.5,0.38,Dance
When a Man Loves a Woman,Percy Sledge,1966,Slow,172,97.8,-0.13,Slow
Where Did Our Love Go,The Supremes,1964,Dance 1960s,152,135.8,0.42,Dance
While My Guitar Gently Weeps,The Beatles,1969,Rock 1960s,286,115.7,1.2,Rock
Whipping Post,The Allman Brothers Band,1969,TBD,322,97.3,0.69,TBD
White Rabbit,Jefferson Airplane,1967,Rock 1960s,152,105.5,-1,Rock
White Room,Cream,1968,Rock 1960s,296,110.2,-0.91,Rock
Who Do You Love,Bo Diddley,1957,TBD,150,114.3,2.38,TBD
Who'll Stop the Rain,Creedence Clearwater Revival,1970,Slow,146,123.8,0.5,Slow
Whole Lotta Love,Led Zeppelin,1969,Rock 1960s,333,92.1,2.31,Rock
Whole Lotta Shakin' Going On,Jerry Lee Lewis,1957,Rock 1950s,171,121,1.25,Rock
Wichita Lineman,Glen Campbell,1968,Country,184,87,0.83,Country
Wild Horses,The Rolling Stones,1971,TBD,345,144.2,-1.11,TBD
Wild Thing,The Troggs,1966,Rock 1960s,155,102.1,3,Rock
Will You Love Me Tomorrow,The Shirelles,1961,Rock 1960s,163,125.2,2.57,Rock
"William, It Was Really Nothing",The Smiths,1984,Rock 1970s,129,131,0.62,Rock
Wish You Were Here,Pink Floyd,1975,Slow,310,121.8,0.08,Slow
With a Little Help From My Friends,The Beatles,1969,Rock 1960s,163,112.5,1.48,Rock
With or Without You,U2,1987,Slow,296,110,2,Slow
Won't Get Fooled Again,The Who,1971,Rock 1970s,218,134.9,0.61,Rock
Yesterday,The Beatles,1966,Rock 1960s,125,97.6,0,Rock
You Are the Sunshine of My Life,Stevie Wonder,1973,Slow,171,134,1.43,Slow
You Can't Always Get What You Want,The Rolling Stones,1969,TBD,450,91.7,0.28,TBD
You Don't Have to Say You Love Me,Dusty Springfield,1966,TBD,167,111.9,1.29,TBD
You Keep Me Hanging On,The Supremes,1968,TBD,161,127.6,1.65,TBD
You Really Got Me,The Kinks,1964,Rock 1960s,133,138,0.8,Rock
You Send Me,Sam Cooke,1957,Slow,165,95.7,2.14,Slow
You've Lost That Lovin' Feelin',The Righteous Brothers,1964,Slow,221,96.1,0.89,Slow
Young Americans,David Bowie,1975,Rock 1970s,311,85.1,0.67,Rock
Young Blood,The Coasters,1957,TBD,145,109.2,-1.29,TBD
Your Cheatin' Heart,Hank Williams,1953,Country,162,128.5,-0.3,Country
Your Song,Elton John,1970,Slow,240,117.9,1.75,Slow
Ziggy Stardust,David Bowie,1972,Rock 1970s,193,160.7,0.12,Rock
