title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
Gloria,Van Morrison with Them,1965,Rock 1960s,156,131.1,1.33,Rock
Go Your Own Way,Fleetwood Mac,1977,Rock 1970s,219,135.6,-1.43,Rock
God Only Knows,The Beach Boys,1966,TBD,172,116.6,1,TBD
God Save the Queen,Sex Pistols,1977,Rock 1970s,198,148.5,0.15,Rock
Good Golly Miss Molly,Little Richard,1958,Rock 1950s,127,84.4,0.96,Rock
Good Lovin',The Young Rascals,1966,Rock 1960s,149,98.4,2.29,Rock
Good Times,Chic,1979,Disco,224,110.2,1.77,Disco
Good Vibrations,The Beach Boys,1966,Rock 1960s,216,148.8,2.95,Rock
Goodbye Yellow Brick Road,Elton John,1973,Slow,192,120.3,1,Slow
Got My Mojo Working,Muddy Waters,1999,TBD,170,113.3,0,TBD
Graceland,Paul Simon,1986,TBD,291,117.9,0.33,TBD
Great Balls of Fire,Jerry Lee Lewis,1957,Rock 1950s,111,161.2,1.58,Rock
Great Pretender,The Platters,1955,Slow,159,120.9,0.65,Slow
Hallelujah,Jeff Buckley,1994,TBD,413,93.1,0.6,TBD
He Stopped Loving Her Today,George Jones,2005,Country,196,112.3,0.7,Country
He's a Rebel,The Crystals,1962,Dance 1960s,144,115.9,0.15,Dance
Heart of Glass,Blondie,1979,Dance 1970s,274,114.5,0.54,Dance
Heart of Gold,Neil Young,1972,Slow,187,85.5,1.25,Slow
Heartbreak Hotel,Elvis Presley,1956,Rock 1950s,129,107.8,-2,Rock
Heartbreaker,Led Zeppelin,1990,Rock 1970s,254,112.4,0.43,Rock
Help Me,Joni Mitchell,1974,TBD,204,163.4,1.35,TBD
Help!,The Beatles,1966,Rock 1960s,140,95.2,1.58,Rock
Heroes,David Bowie,1998,TBD,213,113.1,1.41,TBD
Heroin,The Velvet Underground,2005,TBD,432,131.8,0.83,TBD
Hey Joe,Jimi Hendrix,1968,Rock 1960s,207,84.3,0.37,Rock
Hey Jude,The Beatles,1969,Rock 1960s,428,146.9,0.72,Rock
Hey Ya! [Radio Mix],OutKast,2003,TBD,239,159,1,TBD
Higher Ground,Stevie Wonder,1973,Rock 1980s,191,125.3,0.73,Rock
Highway 61 Revisited,Bob Dylan,1965,TBD,210,136.8,-0.17,TBD
Highway to Hell,AC/DC,1979,Rock 1970s,209,116,-2.79,Rock
Hit the Road Jack,Ray Charles,1961,Rock 1960s,119,86.4,-0.72,Rock
Honky Tonk Woman,The Rolling Stones,1969,TBD,180,121.2,0.5,TBD
Hot Fun in the Summertime,Sly & The Family Stone,1969,Dance 1960s,155,144.8,2.42,Dance
Hot Stuff,Donna Summer,1979,Disco,230,120.1,2.04,Disco
Hotel California,The Eagles,1977,Slow,389,147.9,1,Slow
Hound Dog,Elvis Presley,1956,Rock 1950s,135,88.8,-0.2,Rock
House of the Rising Sun,The Animals,1964,Slow,268,116.7,-0.89,Slow
How Deep Is Your Love,Bee Gees,1977,Slow,240,105.1,0.64,Slow
How Soon Is Now?,The Smiths,1984,Rock 1980s,406,95.4,0.6,Rock
I Believe I Can Fly,R. Kelly,1996,TBD,281,120.5,1.25,TBD
I Can See for Miles,The Who,1967,Rock 1960s,261,132.7,0.21,Rock
I Can't Explain,The Who,1965,Rock 1960s,123,137.8,0.96,Rock
I Can't Help Myself,Four Tops,1965,Rock 1960s,164,128,1.44,Rock
I Can't Make You Love Me,Bonnie Raitt,1991,Easy,285,123,0.71,Easy
I Can't Stop Loving You,Ray Charles,1962,TBD,261,107.3,-0.08,TBD
I Fall to Pieces,Patsy Cline,1961,Country,169,111.2,1.56,Country
I Feel Love,Donna Summer,1977,Disco,352,126.7,2.69,Disco
I Fought the Law,The Bobby Fuller Four,1966,Rock 1960s,138,148.3,2,Rock
I Got U Babe,Sonny & Cher,1965,Rock 1960s,189,110.4,0.4,Rock
I Got You,James Brown,1965,Rock 1960s,166,147.5,1.95,Rock
I Heard It Through the Grapevine,Marvin Gaye,1968,Rock 1960s,303,118.1,1.06,Rock
I Know You Got Soul,Eric B. & Rakim,1987,TBD,284,104.1,0.57,TBD
I Never Loved a Man (The Way I Love You),Aretha Franklin,2002,TBD,169,127.6,0,TBD
I Only Have Eyes for You,The Flamingos,1959,Slow,202,88.6,1.29,Slow
I Put a Spell on You,Screamin' Jay Hawkins,1990,TBD,148,86.8,0.89,TBD
I Saw Her Standing There,The Beatles,1963,TBD,171,160.7,2.5,TBD
