number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
40,Martha Reeves & The Vandellas,Dancing in the Street,2M 37S,127.5,1964,Dance 1960s,POWERTRK_141-18,POWERTRK_141,Top 100,1960s
41,The Band,The Weight,4M 31S,144.2,1968,Rock 1960s,POWERTRK_135-03,POWERTRK_135,Top 100,1960s
42,The Kinks,Waterloo Sunset,3M 17S,107.3,1967,TBD,DTRANDOM_005-13,DTRANDOM_005,Top 100,1960s
43,Little Richard,Tutti-Frutti,2M 22S,184.6,1956,Rock 1950s,POWERTRK_105-14,POWERTRK_105,Top 100,1950s
44,Ray Charles,Georgia on My Mind,3M 38S,128.8,1960,Slow,POWERTRK_046-12,POWERTRK_046,Top 100,1960s
45,Elvis Presley,Heartbreak Hotel,2M 9S,107.8,1956,Rock 1950s,POWERTRK_062-17,POWERTRK_062,Top 100,1950s
46,David Bowie,Heroes,3M 33S,113.1,1998,TBD,DTRANDOM_007-17,DTRANDOM_007,Top 100,1990s
47,Simon & Garfunkel,Bridge Over Troubled Water,4M 51S,87.2,1970,Slow,POWERTRK_009-01,POWERTRK_009,Top 100,1970s
48,Jimi Hendrix,All Along the Watchtower,4M 1S,114.3,1968,Rock 1960s,POWERTRK_029-04,POWERTRK_029,Top 100,1960s
49,The Eagles,Hotel California,6M 29S,147.9,1977,Slow,POWERTRK_051-01,POWERTRK_051,Top 100,1970s
50,Smokey Robinson,Tracks of My Tears,2M 55S,97.7,1965,Slow,POWERTRK_046-17,POWERTRK_046,Top 100,1960s
51,Grandmaster Flash & Melle Mel,The Message,7M 7S,101,1981,R&B 1980s,POWERTRK_142-08,POWERTRK_142,Top 100,1980s
52,Prince,When Doves Cry,3M 48S,126.5,1984,Dance 1980s,POWERTRK_084-02,POWERTRK_084,Top 100,1980s
53,Sex Pistols,Anarchy in the U.K.,3M 32S,134.3,1977,Rock 1970s,POWERTRK_070-13,POWERTRK_070,Top 100,1970s
54,Percy Sledge,When a Man Loves a Woman,2M 52S,97.8,1966,Slow,POWERTRK_033-01,POWERTRK_033,Top 100,1960s
55,The Kingsmen,Louie Louie,2M 42S,124,1963,Rock 1960s,POWERTRK_017-16,POWERTRK_017,Top 100,1960s
56,Little Richard,Long Tall Sally,2M 6S,189.8,1956,Rock 1950s,POWERTRK_118-08,POWERTRK_118,Top 100,1950s
57,Procol Harum,A Whiter Shade of Pale,4M 4S,148.6,1967,Slow,POWERTRK_027-08,POWERTRK_027,Top 100,1960s
58,Michael Jackson,Billie Jean,4M 54S,117,1983,Dance 1980s,POWERTRK_008-08,POWERTRK_008,Top 100,1980s
59,Bob Dylan,The Times They Are A-Changin',3M 11S,86.1,1967,Rock 1960s,POWERTRK_154-11,POWERTRK_154,Top 100,1960s
60,Al Green,Let's Stay Together,3M 17S,102.2,1971,Slow,POWERTRK_045-07,POWERTRK_045,Top 100,1970s
61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,2M 51S,121,1957,Rock 1950s,POWERTRK_017-12,POWERTRK_017,Top 100,1950s
62,Bo Diddley,Bo Diddley,2M 20S,106,1957,TBD,HOTSTUFF_029-12,HOTSTUFF_029,Top 100,1950s
63,Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)",2M 38S,99.4,1967,Rock 1960s,POWERTRK_071-04,POWERTRK_071,Top 100,1960s
64,The Beatles,She Loves You,2M 22S,149.8,1966,Rock 1960s,BEATLES__RDA-04,BEATLES__RDA,Top 100,1960s
65,Cream,Sunshine of Your Love,4M 11S,115,1968,Rock 1960s,POWERTRK_063-04,POWERTRK_063,Top 100,1960s
66,Bob Marley & The Wailers,Redemption Song,3M 48S,116,1980,Reggae,BOBMARLY_G1A-12,BOBMARLY_G1A,Top 100,1980s
67,Elvis Presley,Jailhouse Rock,2M 27S,84.2,1957,Rock 1950s,POWERTRK_041-03,POWERTRK_041,Top 100,1950s
68,Bob Dylan,Tangled Up in Blue,5M 43S,99.2,1994,TBD,DTRANDOM_008-04,DTRANDOM_008,Top 100,1990s
69,Roy Orbison,Crying,2M 47S,97.1,2006,TBD,DTRANDOM_003-12,DTRANDOM_003,Top 100,2000s
70,Dionne Warwick,Walk on By,2M 44S,99.3,1964,Slow,POWERTRK_166-15,POWERTRK_166,Top 100,1960s
71,The Beach Boys,California Girls,2M 37S,115.9,1965,Rock 1960s,POWERTRK_078-06,POWERTRK_078,Top 100,1960s
72,James Brown,Papa's Got a Brand New Bag Part 1,2M 3S,130.2,1965,Rock 1960s,POWERTRK_025-17,POWERTRK_025,Top 100,1960s
73,Eddie Cochran,Summertime Blues,1M 59S,157.2,1970,Rock 1970s,ESSENTLS_001-22,ESSENTLS_001,Top 100,1970s
74,Stevie Wonder,Superstition,4M 25S,101.3,1972,Disco,POWERTRK_017-13,POWERTRK_017,Top 100,1970s
75,Led Zeppelin,Whole Lotta Love,5M 33S,92.1,1969,Rock 1960s,POWERTRK_065-17,POWERTRK_065,Top 100,1960s
76,The Beatles,Strawberry Fields Forever,4M 8S,99.2,1969,Rock 1960s,BEATLES__BLA-01,BEATLES__BLA,Top 100,1960s
77,Elvis Presley,Mystery Train,2M 27S,121,2000,TBD,DTRANDOM_004-15,DTRANDOM_004,Top 100,2000s
78,James Brown,I Got You,2M 46S,147.5,1965,Rock 1960s,POWERTRK_037-14,POWERTRK_037,Top 100,1960s
79,The Byrds,Mr. Tambourine Man,2M 18S,122.3,1965,Rock 1960s,POWERTRK_065-16,POWERTRK_065,Top 100,1960s
80,Marvin Gaye,I Heard It Through the Grapevine,5M 3S,118.1,1968,Rock 1960s,POWERTRK_029-01,POWERTRK_029,Top 100,1960s
81,Fats Domino,Blueberry Hill,2M 19S,125.5,1956,Slow,POWERTRK_055-03,POWERTRK_055,Top 100,1950s
82,The Kinks,You Really Got Me,2M 13S,138,1964,Rock 1960s,POWERTRK_041-17,POWERTRK_041,Top 100,1960s
83,The Beatles,Norwegian Wood (This Bird Has Flown),2M 5S,88.7,1966,Rock 1960s,BEATLES__RDB-06,BEATLES__RDB,Top 100,1960s
84,The Police,Every Breath You Take,4M 13S,117.4,1983,Slow,POWERTRK_033-10,POWERTRK_033,Top 100,1980s
85,Patsy Cline,Crazy,2M 41S,110.8,1961,Country,POWERTRK_048-06,POWERTRK_048,Top 100,1960s
86,Bruce Springsteen,Thunder Road,4M 51S,144,1975,TBD,DTRANDOM_005-05,DTRANDOM_005,Top 100,1970s
87,Johnny Cash,Ring of Fire,2M 38S,103.4,1963,Country,POWERTRK_051-13,POWERTRK_051,Top 100,1960s
88,The Temptations,My Girl,2M 42S,105.1,1965,Slow,POWERTRK_015-05,POWERTRK_015,Top 100,1960s
89,The Mamas & the Papas,California Dreamin',2M 39S,113,1966,Rock 1960s,POWERTRK_026-01,POWERTRK_026,Top 100,1960s
90,The Five Satins,In the Still of the Night,3M 2S,105.4,1956,Slow,POWERTRK_015-06,POWERTRK_015,Top 100,1950s
91,Elvis Presley,Suspicious Minds,3M 20S,114.8,1969,Rock 1960s,POWERTRK_130-13,POWERTRK_130,Top 100,1960s
92,Ramones,Blitzkrieg Bop,2M 12S,88.4,1976,Rock 1970s,POWERTRK_071-13,POWERTRK_071,Top 100,1970s
93,U2,I Still Haven't Found What I'm Looking For,4M 37S,100.6,1987,Rock 1980s,POWERTRK_042-02,POWERTRK_042,Top 100,1980s
94,Little Richard,Good Golly Miss Molly,2M 7S,84.4,1958,Rock 1950s,POWERTRK_019-04,POWERTRK_019,Top 100,1950s
95,Carl Perkins,Blue Suede Shoes,2M 14S,85.9,1956,Rock 1950s,POWERTRK_078-05,POWERTRK_078,Top 100,1950s
96,Jerry Lee Lewis,Great Balls of Fire,1M 51S,161.2,1957,Rock 1950s,POWERTRK_005-12,POWERTRK_005,Top 100,1950s
97,Chuck Berry,Roll Over Beethoven,2M 25S,92.8,1959,TBD,DTRANDOM_009-06,DTRANDOM_009,Top 100,1950s
98,Al Green,Love And Happiness,5M 7S,98.9,1972,TBD,DTRANDOM_001-14,DTRANDOM_001,Top 100,1970s
99,Creedence Clearwater Revival,Fortunate Son,2M 20S,132.7,1969,Rock 1970s,CCR______GH1-09,CCR______GH1,Top 100,1960s
100,The Rolling Stones,You Can't Always Get What You Want,7M 30S,91.7,1969,TBD,HOTSTUFF_023-20,HOTSTUFF_023,Top 100,1960s
101,Jimi Hendrix,Voodoo Child,5M 13S,118.6,1993,TBD,DTRANDOM_004-19,DTRANDOM_004,200s,1990s
102,Gene Vincent,Be-Bop-A-Lula,2M 35S,127.8,1956,Rock 1950s,POWERTRK_027-16,POWERTRK_027,200s,1950s
103,Donna Summer,Hot Stuff,3M 50S,120.1,1979,Disco,POWERTRK_019-09,POWERTRK_019,200s,1970s
104,Stevie Wonder,Living for the City,7M 25S,99.1,1973,Rock 1980s,STVWONDR_GH1-11,STVWONDR_GH1,200s,1970s
105,Simon & Garfunkel,The Boxer,5M 9S,96.2,1969,Rock 1970s,SIMONGRF_GH1-18,SIMONGRF_GH1,200s,1960s
106,Bob Dylan,Mr. Tambourine Man,5M 28S,177.5,1967,TBD,DTRANDOM_009-02,DTRANDOM_009,200s,1960s
107,Buddy Holly,Not Fade Away,2M 16S,97.5,1999,TBD,DTRANDOM_003-19,DTRANDOM_003,200s,1990s
108,Prince,Little Red Corvette,4M 56S,123.2,1983,Dance 1980s,POWERTRK_014-19,POWERTRK_014,200s,1980s
109,Van Morrison,Brown Eyed Girl,3M 3S,151.1,1967,Rock 1960s,POWERTRK_057-02,POWERTRK_057,200s,1960s
110,Otis Redding,I've Been Loving You Too Long (To Stop Now),3M 13S,117.4,1965,TBD,DTRANDOM_007-12,DTRANDOM_007,200s,1960s
111,Hank Williams,I'm So Lonesome I Could Cry,2M 49S,111.9,1970,TBD,DTRANDOM_005-18,DTRANDOM_005,200s,1970s
112,Elvis Presley,That's All Right,1M 57S,105.5,2000,TBD,DTRANDOM_008-06,DTRANDOM_008,200s,2000s
113,The Drifters,Up on the Roof,2M 37S,121.3,1962,Rock 1960s,POWERTRK_112-06,POWERTRK_112,200s,1960s
114,The Crystals,Da Doo Ron Ron,2M 18S,147.6,1992,TBD,DTRANDOM_002-16,DTRANDOM_002,200s,1990s
115,Sam Cooke,You Send Me,2M 45S,95.7,1957,Slow,POWERTRK_031-17,POWERTRK_031,200s,1950s
116,The Rolling Stones,Honky Tonk Woman,3M 0S,121.2,1969,TBD,HOTSTUFF_029-16,HOTSTUFF_029,200s,1960s
117,Al Green,Take Me to the River,3M 45S,118,1974,TBD,DTRANDOM_008-05,DTRANDOM_008,200s,1970s
118,The Isley Brothers,Shout,4M 36S,138.9,1960,Rock 1960s,PARTYTIM_001-18,PARTYTIM_001,200s,1960s
119,Fleetwood Mac,Go Your Own Way,3M 39S,135.6,1977,Rock 1970s,POWERTRK_036-04,POWERTRK_036,200s,1970s
120,The Jackson 5,I Want You Back,3M 0S,98.1,1969,Dance 1960s,POWERTRK_029-15,POWERTRK_029,200s,1960s
121,Ben E. King,Stand by Me,2M 54S,108.9,1961,Slow,POWERTRK_046-05,POWERTRK_046,200s,1960s
122,The Animals,House of the Rising Sun,4M 28S,116.7,1964,Slow,POWERTRK_049-04,POWERTRK_049,200s,1960s
123,James Brown,It's a Man's Man's Man's World,2M 47S,105.3,1991,TBD,DTRANDOM_004-18,DTRANDOM_004,200s,1990s
124,The Rolling Stones,Jumpin' Jack Flash,3M 40S,137.5,1968,Rock 1960s,POWERTRK_033-07,POWERTRK_033,200s,1960s
125,The Shirelles,Will You Love Me Tomorrow,2M 43S,125.2,1961,Rock 1960s,POWERTRK_103-06,POWERTRK_103,200s,1960s
126,Big Joe Turner,"Shake, Rattle And Roll",3M 0S,153,1954,TBD,DTRANDOM_002-10,DTRANDOM_002,200s,1950s
127,David Bowie,Changes,3M 34S,114,1972,Rock 1970s,POWERTRK_095-09,POWERTRK_095,200s,1970s
128,Chuck Berry,Rock & Roll Music,2M 31S,165.8,1957,Rock 1950s,POWERTRK_020-19,POWERTRK_020,200s,1950s
129,Steppenwolf,Born to Be Wild,3M 28S,146.9,1968,Rock 1960s,POWERTRK_056-04,POWERTRK_056,200s,1960s
130,Rod Stewart,Maggie May,4M 58S,128.8,1971,Rock 1970s,POWERTRK_059-11,POWERTRK_059,200s,1970s
131,U2,With or Without You,4M 56S,110,1987,Slow,POWERTRK_008-09,POWERTRK_008,200s,1980s
132,Bo Diddley,Who Do You Love,2M 30S,114.3,1957,TBD,DTRANDOM_005-17,DTRANDOM_005,200s,1950s
133,The Who,Won't Get Fooled Again,3M 38S,134.9,1971,Rock 1970s,POWERTRK_054-13,POWERTRK_054,200s,1970s
134,Wilson Pickett,In the Midnight Hour,2M 36S,112,1965,Dance 1960s,POWERTRK_038-13,POWERTRK_038,200s,1960s
135,The Beatles,While My Guitar Gently Weeps,4M 46S,115.7,1969,Rock 1960s,BEATLES__BLB-02,BEATLES__BLB,200s,1960s
136,Elton John,Your Song,4M 0S,117.9,1970,Slow,POWERTRK_039-15,POWERTRK_039,200s,1970s
137,The Beatles,Eleanor Rigby,2M 8S,138.3,1966,Rock 1960s,BEATLES__RDB-12,BEATLES__RDB,200s,1960s
138,Sly & The Family Stone,Family Affair,3M 2S,108.6,1971,Slow,POWERTRK_148-13,POWERTRK_148,200s,1970s
139,The Beatles,I Saw Her Standing There,2M 51S,160.7,1963,TBD,HOTSTUFF_027-11,HOTSTUFF_027,200s,1960s
140,Led Zeppelin,Kashmir,8M 32S,120.7,1990,Rock 1970s,LEDZEPLN_G1C-01,LEDZEPLN_G1C,200s,1990s
141,Everly Brothers,All I Have to Do Is Dream,2M 22S,96.9,1958,Slow,POWERTRK_058-14,POWERTRK_058,200s,1950s
142,James Brown,"Please, Please, Please",2M 44S,109.6,1991,TBD,DTRANDOM_008-15,DTRANDOM_008,200s,1990s
143,Prince,Purple Rain,6M 32S,113.7,1984,Slow,POWERTRK_104-17,POWERTRK_104,200s,1980s
144,Ramones,I Wanna Be Sedated,2M 28S,162.5,1980,Rock 1980s,POWERTRK_026-13,POWERTRK_026,200s,1980s
145,Sly & The Family Stone,Everyday People,2M 19S,114.5,1969,Dance 1960s,POWERTRK_139-04,POWERTRK_139,200s,1960s
146,The B-52's,Rock Lobster,6M 50S,91.1,1979,Rock 1970s,POWERTRK_036-05,POWERTRK_036,200s,1970s
147,Iggy Pop,Lust for Life,5M 13S,102,1977,Rock 2000s,TRANSPTG_ST1-01,TRANSPTG_ST1,200s,1970s
148,Janis Joplin,Me And Bobby McGee,4M 34S,93.3,1973,Rock 1970s,JANISJOP_GH1-05,JANISJOP_GH1,200s,1970s
149,Everly Brothers,Cathy's Clown,2M 22S,121.3,1960,Rock 1960s,POWERTRK_115-16,POWERTRK_115,200s,1960s
150,The Byrds,Eight Miles High,3M 36S,122,1966,TBD,DTRANDOM_003-05,DTRANDOM_003,200s,1960s
151,The Penguins,Earth Angel (Will You Be Mine),2M 55S,103.8,1955,Slow,POWERTRK_113-06,POWERTRK_113,200s,1950s
152,Jimi Hendrix,Foxey Lady,3M 16S,99.3,1968,Rock 1960s,POWERTRK_062-18,POWERTRK_062,200s,1960s
153,The Beatles,A Hard Day's Night,2M 34S,138.8,1966,Rock 1960s,BEATLES__RDA-08,BEATLES__RDA,200s,1960s
154,Buddy Holly,Rave On,1M 49S,159.5,1958,Rock 1950s,POWERTRK_095-12,POWERTRK_095,200s,1950s
155,Creedence Clearwater Revival,Proud Mary,3M 7S,120.4,1968,Rock 1960s,POWERTRK_049-03,POWERTRK_049,200s,1960s
156,Simon & Garfunkel,The Sounds of Silence,3M 4S,106.6,1965,Slow,POWERTRK_074-01,POWERTRK_074,200s,1960s
157,The Flamingos,I Only Have Eyes for You,3M 22S,88.6,1959,Slow,POWERTRK_038-02,POWERTRK_038,200s,1950s
158,Bill Haley and His Comets,Rock Around the Clock,2M 10S,89.9,1955,Rock 1950s,POWERTRK_041-02,POWERTRK_041,200s,1950s
159,The Velvet Underground,I'm Waiting for the Man,4M 40S,125.4,2005,TBD,DTRANDOM_002-01,DTRANDOM_002,200s,2000s
160,Public Enemy,Bring the Noise,3M 47S,110.2,2005,TBD,DTRANDOM_005-10,DTRANDOM_005,200s,2000s
161,Ray Charles,I Can't Stop Loving You,4M 21S,107.3,1962,TBD,DTRANDOM_005-04,DTRANDOM_005,200s,1960s
162,Sinead O'Connor,Nothing Compares 2 U,5M 8S,120,1990,Slow,POWERTRK_015-19,POWERTRK_015,200s,1990s
163,Queen,Bohemian Rhapsody,5M 53S,108,1976,Slow,POWERTRK_019-01,POWERTRK_019,200s,1970s
164,Johnny Cash,Folsom Prison Blues,2M 46S,102.6,1956,Country,POWERTRK_128-17,POWERTRK_128,200s,1950s
165,Tracy Chapman,Fast Car,4M 53S,103.7,1988,Rock 1980s,POWERTRK_114-08,POWERTRK_114,200s,1980s
166,Eminem,Lose Yourself,4M 25S,171.5,2005,TBD,HOTSTUFF_005-17,HOTSTUFF_005,200s,2000s
167,Marvin Gaye,Let's Get It On,3M 59S,83.5,1973,Dance 1970s,POWERTRK_132-05,POWERTRK_132,200s,1970s
168,The Temptations,Papa Was a Rollin' Stone,6M 54S,121.2,1972,Rock 1970s,POWERTRK_144-17,POWERTRK_144,200s,1970s
169,R.E.M.,Losing My Religion,4M 27S,125.4,1991,Rock 1990s,POWERTRK_017-14,POWERTRK_017,200s,1990s
170,Joni Mitchell,Both Sides Now,5M 46S,111.3,1969,TBD,DTRANDOM_003-11,DTRANDOM_003,200s,1960s
171,ABBA,Dancing Queen,3M 52S,100.4,1977,Disco,POWERTRK_029-02,POWERTRK_029,200s,1970s
172,Aerosmith,Dream On,4M 25S,154.8,1976,Slow,POWERTRK_045-11,POWERTRK_045,200s,1970s
173,Sex Pistols,God Save the Queen,3M 18S,148.5,1977,Rock 1970s,POWERTRK_084-14,POWERTRK_084,200s,1970s
174,The Rolling Stones,Paint It Black,3M 45S,159.1,1966,TBD,HOTSTUFF_023-13,HOTSTUFF_023,200s,1960s
175,The Bobby Fuller Four,I Fought the Law,2M 18S,148.3,1966,Rock 1960s,POWERTRK_037-02,POWERTRK_037,200s,1960s
176,The Beach Boys,Don't Worry Baby,2M 45S,121.8,1964,Slow,POWERTRK_132-09,POWERTRK_132,200s,1960s
177,Tom Petty and The Heartbreakers,Free Fallin',4M 15S,84.3,1989,Slow,POWERTRK_019-18,POWERTRK_019,200s,1980s
178,Big Star,September Gurls,2M 49S,113.9,1978,TBD,DTRANDOM_003-07,DTRANDOM_003,200s,1970s
179,Joy Division,Love Will Tear Us Apart,3M 10S,157.3,1980,TBD,DTRANDOM_006-07,DTRANDOM_006,200s,1980s
180,OutKast,Hey Ya! [Radio Mix],3M 59S,159,2003,TBD,RADIO203_10A-05,RADIO203_10A,200s,2000s
181,Booker T & The MG's,Green Onions,2M 52S,135.1,1962,Rock 1960s,POWERTRK_025-07,POWERTRK_025,200s,1960s
182,The Drifters,Save the Last Dance for Me,2M 27S,144.2,1960,Slow,POWERTRK_055-01,POWERTRK_055,200s,1960s
183,B.B. King,The Thrill Is Gone,5M 25S,90.7,1998,TBD,DTRANDOM_005-15,DTRANDOM_005,200s,1990s
184,The Beatles,Please Please Me,2M 3S,139.4,1966,Rock 1960s,BEATLES__RDA-02,BEATLES__RDA,200s,1960s
185,Bob Dylan,Desolation Row,11M 20S,110.4,1965,TBD,DTRANDOM_004-05,DTRANDOM_004,200s,1960s
186,Aretha Franklin,I Never Loved a Man (The Way I Love You),2M 49S,127.6,2002,TBD,DTRANDOM_008-09,DTRANDOM_008,200s,2000s
187,AC/DC,Back in Black,4M 16S,93.6,1981,Rock 1980s,POWERTRK_052-09,POWERTRK_052,200s,1980s
188,Creedence Clearwater Revival,Who'll Stop the Rain,2M 26S,123.8,1970,Slow,POWERTRK_151-14,POWERTRK_151,200s,1970s
189,Bee Gees,Stayin' Alive,4M 43S,103.6,1977,Disco,POWERTRK_045-05,POWERTRK_045,200s,1970s
190,Bob Dylan,Knockin' on Heaven's Door,2M 30S,139.3,1973,Slow,POWERTRK_012-16,POWERTRK_012,200s,1970s
191,Lynyrd Skynyrd,Free Bird,9M 1S,149,1975,Slow,POWERTRK_025-01,POWERTRK_025,200s,1970s
192,Glen Campbell,Wichita Lineman,3M 4S,87,1968,Country,CNTRYTRK_003-05,CNTRYTRK_003,200s,1960s
193,The Drifters,There Goes My Baby,2M 7S,119.8,1959,Slow,POWERTRK_131-03,POWERTRK_131,200s,1950s
194,Buddy Holly,Peggy Sue,2M 29S,148.8,1957,Rock 1950s,POWERTRK_014-07,POWERTRK_014,200s,1950s
195,The Chantels,Maybe,2M 52S,103.9,1958,TBD,DTRANDOM_007-02,DTRANDOM_007,200s,1950s
196,Guns N' Roses,Sweet Child O' Mine,5M 55S,125,1988,Rock 1980s,POWERTRK_046-06,POWERTRK_046,200s,1980s
197,Elvis Presley,Don't Be Cruel,2M 4S,84.6,1956,Rock 1950s,POWERTRK_057-01,POWERTRK_057,200s,1950s
198,Jimi Hendrix,Hey Joe,3M 27S,84.3,1968,Rock 1960s,POWERTRK_087-07,POWERTRK_087,200s,1960s
199,Parliament,Flashlight,4M 28S,105.5,1978,Dance 1970s,POWERTRK_169-09,POWERTRK_169,200s,1970s
200,Beck,Loser,3M 55S,85.4,1994,Rock 1990s,POWERTRK_062-13,POWERTRK_062,200s,1990s
201,New Order,Bizarre Love Triangle,6M 42S,118.4,1987,Rock 1980s,POWERTRK_026-06,POWERTRK_026,300s,1980s
202,The Beatles,Come Together,4M 18S,82.8,1969,Rock 1960s,BEATLES__BLB-09,BEATLES__BLB,300s,1960s
203,Bob Dylan,Positively 4th Street,3M 55S,110,2000,TBD,DTRANDOM_004-02,DTRANDOM_004,300s,2000s
204,Otis Redding,Try a Little Tenderness,3M 16S,104.1,1967,Slow,POWERTRK_132-06,POWERTRK_132,300s,1960s
205,Bill Withers,Lean on Me,3M 45S,150.6,1972,Slow,POWERTRK_129-09,POWERTRK_129,300s,1970s
206,Four Tops,Reach Out (I'll Be There),3M 0S,119.7,1966,Rock 1960s,POWERTRK_023-15,POWERTRK_023,300s,1960s
207,Everly Brothers,Bye Bye Love,2M 15S,86.3,1957,Rock 1950s,POWERTRK_022-09,POWERTRK_022,300s,1950s
208,Van Morrison with Them,Gloria,2M 36S,131.1,1965,Rock 1960s,POWERTRK_011-06,POWERTRK_011,300s,1960s
209,The Beach Boys,In My Room,2M 15S,103.7,1963,TBD,DTRANDOM_003-16,DTRANDOM_003,300s,1960s
210,? & The Mysterians,96 Tears,3M 1S,123.6,1997,TBD,DTRANDOM_003-14,DTRANDOM_003,300s,1990s
211,The Beach Boys,"Caroline, No",2M 19S,152.3,1966,TBD,DTRANDOM_002-03,DTRANDOM_002,300s,1960s
212,Prince,1999,3M 37S,119.2,1983,Dance 1980s,POWERTRK_053-09,POWERTRK_053,300s,1980s
213,Hank Williams,Your Cheatin' Heart,2M 42S,128.5,1953,Country,POWERTRK_015-13,POWERTRK_015,300s,1950s
214,Neil Young,Rockin' in the Free World,4M 44S,131.9,2004,TBD,DTRANDOM_006-18,DTRANDOM_006,300s,2000s
215,The Chords,Sh-Boom,2M 27S,137.5,1985,TBD,DTRANDOM_007-11,DTRANDOM_007,300s,1980s
216,The Lovin' Spoonful,Do You Believe in Magic,2M 7S,138.7,1965,TBD,DTRANDOM_007-08,DTRANDOM_007,300s,1960s
217,Dolly Parton,Jolene,2M 41S,110,1974,TBD,DTRANDOM_008-13,DTRANDOM_008,300s,1970s
218,John Lee Hooker,Boom Boom,2M 10S,91.5,1962,TBD,DTRANDOM_003-20,DTRANDOM_003,300s,1960s
219,Howlin' Wolf,Spoonful,2M 45S,119.9,2003,TBD,DTRANDOM_001-10,DTRANDOM_001,300s,2000s
220,The Left Banke,Walk Away Renee,2M 43S,118.3,1967,TBD,DTRANDOM_002-11,DTRANDOM_002,300s,1960s
221,Lou Reed,Walk on the Wild Side,4M 12S,106.1,1973,Rock 1970s,POWERTRK_006-04,POWERTRK_006,300s,1970s
222,Roy Orbison,"Oh, Pretty Woman",2M 57S,127.2,1964,Rock 1960s,POWERTRK_021-11,POWERTRK_021,300s,1960s
223,Sly & The Family Stone,Dance to the Music,2M 58S,128.1,1968,Dance 1960s,POWERTRK_027-01,POWERTRK_027,300s,1960s
224,Chic,Good Times,3M 44S,110.2,1979,Disco,POWERTRK_017-07,POWERTRK_017,300s,1970s
225,Muddy Waters,I'm Your Hoochie Coochie Man,2M 52S,108.9,1960,TBD,DTRANDOM_006-03,DTRANDOM_006,300s,1960s
226,Van Morrison,Moondance,4M 32S,131.6,1970,Rock 1970s,POWERTRK_034-05,POWERTRK_034,300s,1970s
227,James Taylor,Fire And Rain,3M 22S,151.7,1970,Slow,POWERTRK_079-01,POWERTRK_079,300s,1970s
228,The Clash,Should I Stay or Should I Go?,3M 7S,113.3,1982,Rock 1980s,POWERTRK_025-08,POWERTRK_025,300s,1980s
229,Muddy Waters,Mannish Boy,2M 58S,105.4,1960,TBD,DTRANDOM_006-17,DTRANDOM_006,300s,1960s
230,Bob Dylan,Just Like a Woman,4M 52S,116.3,1967,TBD,HOTSTUFF_026-20,HOTSTUFF_026,300s,1960s
231,Marvin Gaye,Sexual Healing,3M 59S,93.9,1982,Slow,POWERTRK_002-16,POWERTRK_002,300s,1980s
232,Roy Orbison,Only the Lonely (Know How I Feel),2M 26S,119.9,1960,Slow,POWERTRK_072-13,POWERTRK_072,300s,1960s
233,The Animals,We Gotta Get Out of This Place,3M 10S,124.7,1965,Rock 1960s,POWERTRK_141-17,POWERTRK_141,300s,1960s
234,The Byrds,I'll Feel a Whole Lot Better,2M 33S,134.4,1965,TBD,DTRANDOM_007-10,DTRANDOM_007,300s,1960s
235,Ray Charles,I've Got a Woman,2M 55S,99.4,1994,TBD,DTRANDOM_008-17,DTRANDOM_008,300s,1990s
236,Buddy Holly,Everyday,2M 7S,136.5,1957,Rock 1950s,POWERTRK_096-16,POWERTRK_096,300s,1950s
237,Afrika Bambaataa & Soulsonic Force,Planet Rock,5M 3S,122.7,1985,Rock 1980s,ELCIRCUS_OS1-01,ELCIRCUS_OS1,300s,1980s
238,Patsy Cline,I Fall to Pieces,2M 49S,111.2,1961,Country,POWERTRK_044-11,POWERTRK_044,300s,1960s
239,Dion,The Wanderer,2M 42S,114.1,1961,Rock 1960s,POWERTRK_054-11,POWERTRK_054,300s,1960s
240,Dusty Springfield,Son of a Preacher Man,2M 27S,90.9,1969,Rock 1960s,POWERTRK_065-01,POWERTRK_065,300s,1960s
